ticker,code,name,category,inbound_weight
9616.T,9616,共立メンテナンス,ホテル・宿泊,5
9722.T,9722,藤田観光,ホテル・宿泊,5
9024.T,9024,西武ホールディングス,ホテル・宿泊,4
9997.T,9997,ベルーナ,ホテル・宿泊,3
6547.T,6547,グリーンズ,ホテル・宿泊,4
4681.T,4681,リゾートトラスト,ホテル・宿泊,3
8985.T,8985,ジャパン・ホテル・リート投資法人,ホテルREIT,5
8963.T,8963,インヴィンシブル投資法人,ホテルREIT,5
3287.T,3287,星野リゾート・リート投資法人,ホテルREIT,5
3472.T,3472,日本ホテル＆レジデンシャル投資法人,ホテルREIT,4
9020.T,9020,東日本旅客鉄道,鉄道・交通,4
9021.T,9021,西日本旅客鉄道,鉄道・交通,4
9022.T,9022,東海旅客鉄道,鉄道・交通,4
9009.T,9009,京成電鉄,鉄道・交通,5
9005.T,9005,東急,鉄道・交通,4
9045.T,9045,京阪ホールディングス,鉄道・交通,4
9041.T,9041,近鉄グループホールディングス,鉄道・交通,5
9142.T,9142,九州旅客鉄道,鉄道・交通,5
9201.T,9201,日本航空,航空,5
9202.T,9202,ANAホールディングス,航空,5
9204.T,9204,スカイマーク,航空,4
9706.T,9706,日本空港ビルデング,空港,5
3099.T,3099,三越伊勢丹ホールディングス,百貨店・小売,5
8233.T,8233,高島屋,百貨店・小売,5
3086.T,3086,J.フロント リテイリング,百貨店・小売,5
8242.T,8242,エイチ・ツー・オー リテイリング,百貨店・小売,4
8237.T,8237,松屋,百貨店・小売,5
8801.T,8801,三井不動産,商業施設・不動産,3
8802.T,8802,三菱地所,商業施設・不動産,3
3231.T,3231,野村不動産ホールディングス,商業施設・不動産,2
3088.T,3088,マツキヨココカラ＆カンパニー,ドラッグストア,5
9989.T,9989,サンドラッグ,ドラッグストア,4
7649.T,7649,スギホールディングス,ドラッグストア,4
7453.T,7453,良品計画,インバウンド・小売,5
3349.T,3349,コスモス薬品,ドラッグストア,3
4661.T,4661,オリエンタルランド,レジャー・観光施設,5
4680.T,4680,ラウンドワン,レジャー・観光施設,4
2353.T,2353,日本駐車場開発,レジャー・観光施設,4
4343.T,4343,イオンファンタジー,レジャー・観光施設,3
9672.T,9672,東京都競馬,レジャー・観光施設,2
6191.T,6191,エアトリ,旅行・OTA,4
3926.T,3926,オープンドア,旅行・OTA,4
6030.T,6030,アドベンチャー,旅行・OTA,4
7048.T,7048,ベルトラ,旅行・OTA,5
2477.T,2477,手間いらず,旅行DX,5
6098.T,6098,リクルートホールディングス,旅行・予約,2
3769.T,3769,GMOペイメントゲートウェイ,決済・周辺サービス,3
4819.T,4819,デジタルガレージ,決済・周辺サービス,3
9416.T,9416,ビジョン,インバウンド・通信,5
3179.T,3179,シュッピン,インバウンド・小売,4
